#(This file contains Japanese character set JISX0208.)

# 
# Optional Japanese Kanji Font (JISX0208) List
#    The following is a list of Japanese Kanji font files in TrueType format 
#

#      L     M     B     E     H
#  W:  3  4  5  6  7  8  9 10 11 12 
#      m  o  p     s     v     x  z


# FONT-NAME                             FILE-NAME	TeX-FONT-NAME

### 富士通 FontCity 2
##DFPOP1体W9				dfpopw9.ttc	dfpopvaa
#DFまるもじ体W3				dfmrmw3.ttc	dfmrmpaa
#DFまるもじ体				dfmrmmd.ttc	dfmrmmaa
#DFまるもじ体W7				dfmrmw7.ttc	dfmrmsaa
#DFまるもじ体W9				dfmrmw9.ttc	dfmrmvaa


### DynaFont スペシャルパック1
#DF痩金体W3				dfsokn3.ttc	dfsokmaa
#DF祥南行書体W5				dfsgyo5.ttc	dfsgypaa
#DF魏碑体W7				dfgihi7.ttc	dfgihsaa
#DF教科書体W3				dfkyks3.ttc	dfkykmaa
#DF教科書体W4				dfkyks4.ttc	dfkykoaa
#DF唐風隷書体W5				dftlei5.ttc	dftlepaa
#DF唐風隷書体W7				dftlei7.ttc	dftlesaa
#DF唐風隷書体W9				dftlei9.ttc	dftlevaa
#DF流隷体W5				dfrule5.ttc	dfrulpaa
#DF流隷体W7				dfrule7.ttc	dfrulsaa
#DF相撲体W12				dfsumoc.ttc	dfsumzaa
#DF康印体W4				dfkoin4.ttc	dfkoioaa
#DF綜藝体W5				dfsoge5.ttc	dfsogpaa
#DF綜藝体W7				dfsoge7.ttc	dfsogsaa
#DF綜藝体W9				dfsoge9.ttc	dfsogvaa


### Ricoh TrueTypeWorld Value Font 141
行書体					hgrgysj.ttc	rcgyopaa
教科書体				hgrkksj.ttc	rckykmaa
正楷書体				hgrsksj.ttc	rckaipaa
岸本楷書体				hgraksj.ttc	rckkapaa
白州行草書体				hgrhkgsj.ttc	rchkgpaa
白州太楷書体				hgrhkfsj.ttc	rchkfsaa
高橋筆楷書体				hgrbfksj.ttf	rctfkpaa
高橋隷書体				hgrbresj.ttf	rctrepaa
羽衣L					hgrhalsj.ttf	rchagmaa
羽衣M					hgrhamsj.ttf	rchagpaa
羽衣B					hgrhabsj.ttf	rchagsaa
羽衣E					hgrhaesj.ttf	rchagvaa
半古印体				hgrcksj.ttc	rcckssaa
